Scenario_Text,Left_Option,Right_Option,Board_Impact,Fan_Impact,Dressing_Room_Impact,Image_Category,Trigger_Condition,Game_Category,Is_Breaking
Your star striker refuses to celebrate after scoring, hinting at unrest.,Drop him for the next match.,Praise him publicly in the post-match presser.,-8,2,5,player_ego,performance_high,locker
The team's veteran leader criticizes your tactics to the media.,Strip him of the captaincy.,Call a team meeting to address concerns.,-5,-3,5,player_ego,performance_low,locker,0
A young prospect arrives late to training for the third time this month.,Fine him two weeks' wages.,Make him run extra laps after training.,0,-2,5,training_ground,any_time,training,0
The board demands you play their expensive new signing.,Start him despite poor form.,Stick with your in-form player.,10,-8,2,board_pressure,new_signing,press,0
Two key players clash over a penalty decision during a match.,Let the captain decide who takes it.,Hold a team vote on penalty duties.,-3,0,-8,player_ego,match_day,stadium,0
Your goalkeeper concedes a soft goal and blames the defenders.,Defend your defenders in the press.,Make the goalkeeper apologize privately.,-2,5,0,training_ground,performance_low,training,0
The team's fitness coach recommends dropping an aging star.,Follow the medical advice.,Keep playing your experienced leader.,-5,8,2,training_ground,player_injury,training,0
A player is caught partying two nights before a crucial derby.,Suspend him for three matches.,Give him a stern warning but start him.,-10,5,8,player_ego,match_important,locker,0
The board sets unrealistic league position targets mid-season.,Publicly commit to the ambitious goal.,Push back citing squad limitations.,-15,10,2,board_pressure,performance_low,press,0
Your assistant manager leaks team selection to the press.,Demand his resignation.,Handle it internally with a warning.,-8,0,-2,board_pressure,any_time,press,0
Players complain the training schedule is too intense.,Reduce the intensity and focus on recovery.,Increase intensity to build resilience.,5,-5,5,training_ground,performance_low,training,0
A player demands a new contract after six good games.,Open negotiations immediately.,Tell him to prove himself over a full season.,-5,0,10,player_ego,performance_high,locker,0
The team hotel for an away game has poor facilities.,Demand an immediate upgrade.,Tell players to focus on football.,-5,-3,-2,training_ground,away_game,training,0
Your set-piece coach wants to change the corner routine.,Implement the new routine immediately.,Stick with what's been working.,2,0,-2,training_ground,match_day,stadium,0
A player refuses to be substituted despite being injured.,Force him off for his own safety.,Let him play through the pain.,-8,10,-5,player_ego,match_important,stadium,0
The team's analytics department clashes with your scouts.,Side with the data analysts.,Trust your experienced scouts.,3,-2,0,board_pressure,transfer_window,press,0
Players are using social media during team meetings.,Ban phones from all team areas.,Implement a fine system for violations.,2,0,2,training_ground,any_time,training,0
A youth team player criticizes first-team training methods.,Bring him into first-team training.,Send him back to the youth setup.,-3,5,-5,training_ground,any_time,training,0
